 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 47197.28 sec)
0.018	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.029	                       -	                   -	Successfully read encryption key from keychain in 0.010302 seconds
0.069	                       -	                   -	server_show_windows_for_asns start
0.071	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.071	                       -	                   -	Still waiting for registration from Finder
0.071	                       -	                   -	Liveness: 1 -> 2 (add_app)
0.071	                       -	                   -	Finder not yet launched, but pretending it is
0.071	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
0.071	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
0.072	        com.apple.finder	                   -	Disposing because it has no windows
0.072	        com.apple.finder	            Disposed	
0.072	                       -	                   -	server_show_windows_for_asns end
0.074	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.074	                       -	                   -	Still waiting for registration from Finder
0.080	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.080	                       -	                   -	Still waiting for registration from Finder
0.177	        com.apple.finder	                   -	Finder checked in
0.177	                       -	                   -	All started apps have registered (no remaining unregistered apps)
0.178	                       -	                   -	TAL Relaunch - all apps registered as ready
2.072	                       -	                   -	Liveness: 2 -> 1 (__remove_app_block_invoke)
16.449	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
16.449	                       -	                   -	Exiting out of boredom
